scene,lodGroupPath,lodCount,lodSizes,rendererCount,totalTriangles,fadeMode,animateCrossFading
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_2-5",2,"0.25|0.01",2,76,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (1)",2,"0.05452252|0.01",2,624,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (4)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (2)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (2)",2,"0.05452252|0.01",2,624,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (1)",2,"0.05131998|0.01",2,260,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (4)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Bushes/Bush_03 (7)",2,"0.1025804|0.02677779",2,979,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_2-4",2,"0.25|0.01",2,76,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (4)",2,"0.05131998|0.01",2,260,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (19)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_0-1",2,"0.25|0.01",2,76,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (10)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (17)",2,"0.05452252|0.01",2,624,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_3-5",2,"0.25|0.01",2,76,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (33)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/RI/domino/Domino_1-4",2,"0.25|0.01",2,76,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/ImplementedContributorInstallations/Meshell_Sturgis/Garden/flowerbed/flowers/Flowers_01 (15)",2,"0.05452252|0.01",2,624,None,False
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (6)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (9)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 1 (1)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (20)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 3 (17)",3,"0.304432|0.1478559|0.03192009",3,276,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Left/Jungle Bush 3 (16)",3,"0.304432|0.1478559|0.03192009",3,102,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Environment/vegetation/FrontHomeFlowers/Right/Jungle Bush 1 (9)",3,"0.304432|0.1478559|0.03192009",3,933,CrossFade,True
"Assets/BH_XR_MainScene.unity","_SceneContent/Home/Exterior/Backyard/grass/Grass_01 (9)",2,"0.05131998|0.01",2,260,None,False
