Path,Size,Size human,Category,Label,Reference evidence,Reason,Recommendation,Risk
Assets/DevDen Arch Viz Scotland/Models/Study Room/books.FBX,39768560,37.9 MB,Referenced,Required/Referenced indirectly,Assets/DevDen Arch Viz Scotland/Prefabs/Study Room/BookShelf.prefab; Assets/DevDen Arch Viz Scotland/Scenes/ArchViz.unity,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/My_Custom/japanese_red_bridge.glb,36773456,35.1 MB,Referenced,Required/Referenced indirectly,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/BCaT_assets/SewingRoom/sewing-sounds.wav,36757578,35.1 MB,Referenced,Required/Referenced indirectly,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/BCaT_assets/SewingRoom/in_my_sisters_room_audio.wav,36634702,34.9 MB,Referenced,Required/Referenced indirectly,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/TerrainSampleAssets/Textures/Terrain/Heather_Normal.tif,36128884,34.5 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_C_Normal.tif,36107892,34.4 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Grass_B_Normal.tif,36105608,34.4 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Grass_A_Normal.tif,36089180,34.4 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Moss_Normal.tif,36063976,34.4 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Dry_Normal.tif,36044732,34.4 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Soil_Rocks_MaskMap.tif,36039052,34.4 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Soil_Normal.tif,35994420,34.3 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Muddy_Normal.tif,35888960,34.2 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_A_Normal.tif,35828800,34.2 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Black_Sand_Normal.tif,35725576,34.1 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Soil_Rocks_Normal.tif,35677264,34.0 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Moss_MaskMap.tif,35519108,33.9 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Black_Sand_MaskMap.tif,35296540,33.7 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_B_Normal.tif,35279552,33.6 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Sand_Normal.tif,35255012,33.6 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Heather_BaseColor.tif,35233308,33.6 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Tidal_Pools_Normal.tif,35033448,33.4 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Dry_BaseColor.tif,35027440,33.4 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Rock_Normal.tif,34933620,33.3 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Rock_MaskMap.tif,34865184,33.3 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Snow_Normal.tif,34687396,33.1 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/BCaT/Exhibits/BlackKitchen/Models/BlackKitchen_ScannedEnvironment.glb,34495692,32.9 MB,Referenced,Required/Referenced indirectly,Assets/BCaT/Exhibits/BlackKitchen/Scenes/BlackKitchen_MemoryScene.unity,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/TerrainSampleAssets/Textures/Terrain/Soil_Rocks_BaseColor.tif,34369328,32.8 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Grass_B_BaseColor.tif,34232048,32.6 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Moss_BaseColor.tif,34198928,32.6 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Rock_BaseColor.tif,34189544,32.6 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Grass_A_BaseColor.tif,34136344,32.6 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/BCaT_assets/LindaLeaks/Linda_Leaks_CHOF_720p.mp4,34127159,32.5 MB,Referenced,Required/Referenced indirectly,Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_VintageCamera.prefab; Assets/BCaT_assets/LindaLeaks/Scripts/Editor/LindaLeaksPhase2Builder.cs; Assets/_Recovery/0 (24).unity,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/StreamingAssets/Linda_Leaks_CHOF_720p.mp4,34127159,32.5 MB,B: indirectly included,Unknown/runtime-loaded,Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_VintageCamera.prefab; Assets/BCaT_assets/LindaLeaks/Scripts/Editor/LindaLeaksPhase2Builder.cs; Assets/_Recovery/0 (24).unity; StreamingAssets raw copy,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_C_BaseColor.tif,33735820,32.2 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Muddy_BaseColor.tif,33725212,32.2 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Heightmaps/Ridge05_Heightmap.tif,33577404,32.0 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Heightmaps/Ridge06_Heightmap.tif,33574684,32.0 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Heightmaps/Errosion02_Heightmap.tif,33573800,32.0 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Heightmaps/Hills01_Heightmap.tiff,33554858,32.0 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Heightmaps/Hills02_Heightmap.tiff,33554858,32.0 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Heightmaps/Mountain10_Heightmap.tiff,33554858,32.0 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Heightmaps/Slope04_Heightmap.tiff,33554858,32.0 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Heightmaps/Slope03_Heightmap.tiff,33554858,32.0 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Heightmaps/Slope02_Heightmap.tiff,33554858,32.0 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Heightmaps/Mountain11_Heightmap.tiff,33554858,32.0 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Heightmaps/Mountain09_Heightmap.tiff,33554858,32.0 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Heightmaps/Slope01_Heightmap.tiff,33554858,32.0 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Grass_Soil_BaseColor.tif,33421736,31.9 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Black_Sand_BaseColor.tif,33337120,31.8 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_A_BaseColor.tif,32999956,31.5 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_B_BaseColor.tif,32092168,30.6 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Terrain/Tidal_Pools_BaseColor.tif,31929948,30.5 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/BCaT_assets/BTMMP_Workstation_Assembly/metal_table_asset.glb,29600972,28.2 MB,Referenced,Required/Referenced indirectly,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/TerrainSampleAssets/Textures/Terrain/Snow_BaseColor.tif,29474316,28.1 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/My_Custom/rug.glb,29117224,27.8 MB,Referenced,Required/Referenced indirectly,Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity; Assets/_Recovery/0.unity,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/RealBlend/Art/Materials/Textures/rough_plaster_brick_04_diff_2k.png,26399365,25.2 MB,Referenced,Required/Referenced indirectly,Assets/RealBlend/Art/Materials/BuiltIn/VariationExampleBuilt-In.mat; Assets/RealBlend/Art/Materials/HDRP/5BlendExample.mat; Assets/RealBlend/Art/Materials/HDRP/VariationExample.mat; Assets/RealBlend/Art/Materials/HDRP/VariationExample_ExperimentalSPOM.mat; Assets/RealBlend/Art/Materials/URP/VariationExampleURP.mat,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/TerrainSampleAssets/Textures/Heightmaps/Volcano02_Heightmap.tif,26231012,25.0 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/TerrainSampleAssets/Textures/Heightmaps/Volcano01_Heightmap.tif,25188260,24.0 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/DevDen Arch Viz Scotland/Models/Bathroom/2.fbx,24828010,23.7 MB,Referenced,Required/Referenced indirectly,Assets/DevDen Arch Viz Scotland/Prefabs/Bathroom/Towel Holder.prefab; Assets/DevDen Arch Viz Scotland/Scenes/ArchViz.unity,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/RealBlend/Art/Materials/Textures/Moss002_2K-PNG_NormalGL.png,24636888,23.5 MB,Referenced,Required/Referenced indirectly,Assets/RealBlend/Art/Materials/HDRP/5BlendExample.mat,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/TerrainSampleAssets/Textures/Terrain/Grass_A_MaskMap.tif,23264240,22.2 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/BCaT_assets/SewingRoom/bed.glb,21972076,21.0 MB,Referenced,Required/Referenced indirectly,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/RealBlend/Art/Materials/Textures/concrete_moss_diff_2k.png,21166815,20.2 MB,Referenced,Required/Referenced indirectly,Assets/RealBlend/Art/Materials/HDRP/5BlendExample.mat,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/My_Custom/modern_scandinavian_kitchen_island.glb,20094320,19.2 MB,Referenced,Required/Referenced indirectly,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/DevDen Arch Viz Scotland/Scenes/ArchViz/ReflectionProbe-8.exr,18705070,17.8 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
Assets/BCaT_assets/Ri/and that is the truth - you know what I'm meaning.mp3,17999572,17.2 MB,Referenced,Required/Referenced indirectly,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/SubstanceAssets/LittleGamesPack/Textures/ChessPieces/ChessPieces_Base_color.png,17751521,16.9 MB,Referenced,Required/Referenced indirectly,Assets/SubstanceAssets/LittleGamesPack/Materials/ChessPieces.mat,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb,17575828,16.8 MB,Referenced,Required/Referenced indirectly,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,Large referenced/indirect asset,Do not delete until Unity dependency check confirms,High-risk deletion
Assets/DevDen Arch Viz Scotland/Scenes/ArchViz/ReflectionProbe-5.exr,16824063,16.0 MB,C: duplicate/obsolete candidate,"Likely safe, verify in Unity",,No GUID/text reference found by static scan,Do not delete until Unity dependency check confirms,Verify in Unity
