Path,Source size,Source size human,Vertex count,Triangle count,Submesh count,Material count,Blend shapes,Animation clips,Read/Write status,Mesh compression,Imported cameras,Imported lights,Referencing scenes/prefabs,Collider type,MeshCollider usage,Duplicated model hints,LOD existence,Hidden/unused geometry,Embedded oversized textures,GLB chunk details,Recommended action,Risk level
Assets/BCaT_assets/SewingRoom/pillow__quilt.glb,13420528,12.8 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Enabled,,,,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,Likely embedded buffer/textures,"JSON:3384; BIN:13417116",Review,High visual/physics QA
Assets/BCaT_assets/9night/drum.glb,12389116,11.8 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Enabled,,,,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,Likely embedded buffer/textures,"JSON:5892; BIN:12383196",Review,High visual/physics QA
Assets/BCaT_assets/Ri/glass_fish.glb,10489132,10.0 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Enabled,,,,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,Likely embedded buffer/textures,"JSON:5860; BIN:10483244",Review,High visual/physics QA
Assets/BCaT_assets/BTMMP_Workstation_Assembly/generic_tulip_flower.glb,8429860,8.0 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Enabled,,,,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,Likely embedded buffer/textures,"JSON:8020; BIN:8421812",Review,High visual/physics QA
Assets/Furniture Mega Pack/FBX/Sofa/Sofa11.fbx,6902620,6.6 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,0,0,1,1,Assets/Furniture Mega Pack/Prefabs/Sofas/Sofa11.prefab,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,,,Review,High visual/physics QA
Assets/BCaT_assets/LindaLeaks/Models/LL_PhotoAlbum.glb,6004636,5.7 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Enabled,,,,Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_PhotoAlbum.prefab; Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,Likely embedded buffer/textures,"JSON:3176; BIN:6001432",Review,High visual/physics QA
Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb,5592488,5.3 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Enabled,,,,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,Likely embedded buffer/textures,"JSON:2856; BIN:5589604",Review,High visual/physics QA
Assets/BCaT_assets/LindaLeaks/Models/LL_AntiqueCamera.glb,5022528,4.8 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Enabled,,,,Assets/BCaT_assets/LindaLeaks/Prefabs/LindaLeaks_Exhibit_VintageCamera.prefab,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,Likely embedded buffer/textures,"JSON:23940; BIN:4998560",Review,High visual/physics QA
Assets/DevDen Arch Viz Scotland/Models/Study Room/CHair2.fbx,4769290,4.5 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,1,0,0,0,Assets/DevDen Arch Viz Scotland/Prefabs/Study Room/StudyRoom Chair.prefab; Assets/DevDen Arch Viz Scotland/Scenes/ArchViz.unity,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,,,Review,High visual/physics QA
Assets/BCaT_assets/SewingRoom/old_sewing_box.glb,4369120,4.2 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Enabled,,,,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,Likely embedded buffer/textures,"JSON:2856; BIN:4366236",Review,High visual/physics QA
Assets/BCaT_assets/BTMMP_Workstation_Assembly/notebook.glb,4185300,4.0 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Enabled,,,,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,Likely embedded buffer/textures,"JSON:5008; BIN:4180264",Review,High visual/physics QA
Assets/DevDen Arch Viz Scotland/Models/Kitchen Room/side_piece.fbx,3809312,3.6 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,1,0,0,0,Assets/DevDen Arch Viz Scotland/Prefabs/Kitchen Room/Kitchen_Cabinet-2.prefab; Assets/DevDen Arch Viz Scotland/Scenes/ArchViz.unity,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,,,Review,High visual/physics QA
Assets/Furniture Mega Pack/FBX/Sofa/Sofa12.fbx,3673260,3.5 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,0,0,1,1,Assets/Furniture Mega Pack/Prefabs/Sofas/Sofa12.prefab,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,,,Review,High visual/physics QA
Assets/Furniture Mega Pack/FBX/Chair/Chair50.fbx,3466780,3.3 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,0,0,1,1,Assets/Furniture Mega Pack/Prefabs/Chairs/Chair50.prefab,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,,,Review,High visual/physics QA
Assets/Furniture Mega Pack/FBX/Chair/Chair35.fbx,3415916,3.3 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,0,0,1,1,Assets/Furniture Mega Pack/Prefabs/Chairs/Chair35.prefab,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,,,Review,High visual/physics QA
Assets/Furniture Mega Pack/FBX/Chair/Chair34.fbx,3415068,3.3 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,0,0,1,1,Assets/Furniture Mega Pack/Prefabs/Chairs/Chair34.prefab,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,,,Review,High visual/physics QA
Assets/YughuesFreeCobbleMaterials/Preview/sphere.obj,3102241,3.0 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,0,0,1,1,Assets/YughuesFreeCobbleMaterials/Preview/P_Sphere.prefab,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,,,Review,High visual/physics QA
Assets/DevDen Arch Viz Scotland/Models/Bathroom/toilet_accesories.fbx,3059744,2.9 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,1,0,0,0,Assets/DevDen Arch Viz Scotland/Prefabs/Bathroom/toilet_accesories.prefab,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,,,Review,High visual/physics QA
Assets/My_Custom/flower.glb,2924424,2.8 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Enabled,,,,,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,Likely embedded buffer/textures,"JSON:6748; BIN:2917648",Review,Unknown
Assets/Furniture Mega Pack/FBX/Chair/Chair10.fbx,2658348,2.5 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,0,0,1,1,Assets/Furniture Mega Pack/Prefabs/Chairs/Chair10.prefab,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,,,Review,High visual/physics QA
Assets/picture-frame/source/pictureframe.fbx,2166880,2.1 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,0,0,1,1,Assets/BCaT_assets/BlackParlors/Assets/pictureframe.prefab,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,,,Review,High visual/physics QA
Assets/BCaT_assets/BlackParlors/Assets/picture-frame/source/pictureframe.fbx,2166880,2.1 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,0,0,1,1,,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,,,Review,Unknown
Assets/My_Custom/morten-s.glb,1956156,1.9 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Enabled,,,,Assets/BH_XR_MainScene.unity; Assets/_Recovery/0 (1).unity; Assets/_Recovery/0 (10).unity; Assets/_Recovery/0 (11).unity; Assets/_Recovery/0 (13).unity; Assets/_Recovery/0 (14).unity; Assets/_Recovery/0 (15).unity; Assets/_Recovery/0 (16).unity; Assets/_Recovery/0 (17).unity; Assets/_Recovery/0 (18).unity; Assets/_Recovery/0 (2).unity; Assets/_Recovery/0 (21).unity; Assets/_Recovery/0 (22).unity; Assets/_Recovery/0 (23).unity; Assets/_Recovery/0 (3).unity; Assets/_Recovery/0 (5).unity; Assets/_Recovery/0 (6).unity; Assets/_Recovery/0 (7).unity; Assets/_Recovery/0 (8).unity; Assets/_Recovery/0 (9).unity,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,Likely embedded buffer/textures,"JSON:21368; BIN:1934760",Review,High visual/physics QA
Assets/Idyllic Italian Coast Town/Meshes/Buildings/SM_villa.fbx,1772256,1.7 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,0,0,1,1,Assets/Idyllic Italian Coast Town/Scenes/Demo Italy.unity,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,,,Review,High visual/physics QA
Assets/Furniture Mega Pack/FBX/Sofa/Sofa14.fbx,1606252,1.5 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,0,0,1,1,Assets/Furniture Mega Pack/Prefabs/Sofas/Sofa14.prefab,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,,,Review,High visual/physics QA
Assets/BCaT_assets/HOMED/Models/Recipe-Box.glb,1578676,1.5 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Enabled,,,,Assets/BCaT_assets/HOMED/Prefabs/HOMED.prefab,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,Likely embedded buffer/textures,"JSON:1168; BIN:1577480",Review,High visual/physics QA
Assets/Pandazole_Ultimate_Pack/Pandazole Farm Ranch Pack/Models/Demo/Farm_Ranch_Pack_1.0.0.fbx,1551036,1.5 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,0,0,1,1,Assets/Pandazole_Ultimate_Pack/Pandazole Farm Ranch Pack/Prefabs/Demo/Farm_Ranch_Pack_1.0.0 Variant.prefab,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,,,Review,High visual/physics QA
Assets/BCaT_assets/BlackFamilyMuseumArchive/Models/chest.glb,1533900,1.5 MB,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,Requires Unity import audit,,,,,Assets/BCaT_assets/BlackFamilyMuseumArchive/Prefabs/BFM_Chest_OnChair.prefab; Assets/BCaT_assets/BlackFamilyMuseumArchive/Prefabs/BFM_Chest_OnChair_W_Text.prefab,Search scene for MeshCollider refs,Requires Unity/scene object dependency audit,,Requires Unity audit,Requires Unity audit,Likely embedded buffer/textures,"JSON:1168; BIN:1532704",Review,High visual/physics QA
