Package,Version/source,Kind,Potential build impact,Recommendation,Risk
com.unity.modules.physics2d,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.screencapture,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.subsystems,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.terrain,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.terrainphysics,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.tilemap,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.ui,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.uielements,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.umbra,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.unityanalytics,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.unitywebrequest,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.unitywebrequestassetbundle,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.unitywebrequestaudio,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.unitywebrequesttexture,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.unitywebrequestwww,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.vectorgraphics,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.vehicles,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.video,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.vr,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.wind,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
com.unity.modules.xr,1.0.0,Package dependency,Runtime package,Keep if used,Package removal requires Unity QA
Assets/Samples,Imported samples,Sample content under Assets,5.0 MB,P2/P3: remove from build if unreferenced,Verify scenes/prefabs do not depend on samples
