SHA256,Path,Size,Size human,Duplicate group count,Group total size,Group total human,Recommendation,Risk
22c727ebf820d138ffc600e765e8635802778576c07e89e051fd233a4ff8139d,.utmp/RelWithDebInfo/5q2osh50/arm64-v8a/prefab_config.json,465,465 B,2,930,930 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
22c727ebf820d138ffc600e765e8635802778576c07e89e051fd233a4ff8139d,.utmp/Debug/2g58671a/arm64-v8a/prefab_config.json,465,465 B,2,930,930 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
a26189e394421da57f45706a07713c5720acd200a41711b0c0c590c3c63371c4,.utmp/RelWithDebInfo/5q2osh50/arm64-v8a/CMakeFiles/cmake.check_cache,85,85 B,3,255,255 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
a26189e394421da57f45706a07713c5720acd200a41711b0c0c590c3c63371c4,.utmp/Debug/2g58671a/arm64-v8a/CMakeFiles/cmake.check_cache,85,85 B,3,255,255 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
a26189e394421da57f45706a07713c5720acd200a41711b0c0c590c3c63371c4,.utmp/Debug/4a3135k6/arm64-v8a/CMakeFiles/cmake.check_cache,85,85 B,3,255,255 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
7c012a98dd93fe6b635c3daf9a328f8ad95005a588b28acce611519bed8bce90,.utmp/RelWithDebInfo/5q2osh50/arm64-v8a/CMakeFiles/3.22.1-g37088a8/CMakeCXXCompiler.cmake,6970,6.8 KB,2,13940,13.6 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
7c012a98dd93fe6b635c3daf9a328f8ad95005a588b28acce611519bed8bce90,.utmp/Debug/2g58671a/arm64-v8a/CMakeFiles/3.22.1-g37088a8/CMakeCXXCompiler.cmake,6970,6.8 KB,2,13940,13.6 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
16c64dd8be4706cd31e18965bb6dd95abc9481f7cd8a2929f25e8d7155776355,.utmp/RelWithDebInfo/5q2osh50/arm64-v8a/CMakeFiles/3.22.1-g37088a8/CMakeCCompiler.cmake,3918,3.8 KB,2,7836,7.7 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
16c64dd8be4706cd31e18965bb6dd95abc9481f7cd8a2929f25e8d7155776355,.utmp/Debug/2g58671a/arm64-v8a/CMakeFiles/3.22.1-g37088a8/CMakeCCompiler.cmake,3918,3.8 KB,2,7836,7.7 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
f88399a39d56b310a14aa58ca95c614022a5899dc39317b98006d9f8dc71cbee,.utmp/RelWithDebInfo/5q2osh50/arm64-v8a/CMakeFiles/3.22.1-g37088a8/CompilerIdC/CMakeCCompilerId.c,24853,24.3 KB,3,74559,72.8 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
f88399a39d56b310a14aa58ca95c614022a5899dc39317b98006d9f8dc71cbee,.utmp/Debug/2g58671a/arm64-v8a/CMakeFiles/3.22.1-g37088a8/CompilerIdC/CMakeCCompilerId.c,24853,24.3 KB,3,74559,72.8 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
f88399a39d56b310a14aa58ca95c614022a5899dc39317b98006d9f8dc71cbee,.utmp/Debug/4a3135k6/arm64-v8a/CMakeFiles/3.22.1-g37088a8/CompilerIdC/CMakeCCompilerId.c,24853,24.3 KB,3,74559,72.8 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
bd1f2250416e16ed26d6db1890f822a01d487df29d20e87407ef4ce72c314ba0,.utmp/RelWithDebInfo/5q2osh50/arm64-v8a/CMakeFiles/3.22.1-g37088a8/CompilerIdCXX/CMakeCXXCompilerId.cpp,24597,24.0 KB,3,73791,72.1 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
bd1f2250416e16ed26d6db1890f822a01d487df29d20e87407ef4ce72c314ba0,.utmp/Debug/2g58671a/arm64-v8a/CMakeFiles/3.22.1-g37088a8/CompilerIdCXX/CMakeCXXCompilerId.cpp,24597,24.0 KB,3,73791,72.1 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
bd1f2250416e16ed26d6db1890f822a01d487df29d20e87407ef4ce72c314ba0,.utmp/Debug/4a3135k6/arm64-v8a/CMakeFiles/3.22.1-g37088a8/CompilerIdCXX/CMakeCXXCompilerId.cpp,24597,24.0 KB,3,73791,72.1 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
34ac89a61a1a56db6578b27a739eef5a00a98dbc342a69a57546b55db45e669d,.utmp/RelWithDebInfo/5q2osh50/arm64-v8a/.cmake/api/v1/reply/directory-GameActivity-RelWithDebInfo-f368e6d506ea21fe2607.json,176,176 B,3,528,528 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
34ac89a61a1a56db6578b27a739eef5a00a98dbc342a69a57546b55db45e669d,.utmp/Debug/2g58671a/arm64-v8a/.cmake/api/v1/reply/directory-GameActivity-Debug-f368e6d506ea21fe2607.json,176,176 B,3,528,528 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
34ac89a61a1a56db6578b27a739eef5a00a98dbc342a69a57546b55db45e669d,.utmp/Debug/4a3135k6/arm64-v8a/.cmake/api/v1/reply/directory-GameActivity-Debug-f368e6d506ea21fe2607.json,176,176 B,3,528,528 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
86e7a30b8b63ba3392582621985aeef407bddffc28967e4e9f1ebcf80cb8b8a0,.utmp/RelWithDebInfo/5q2osh50/arm64-v8a/.cmake/api/v1/reply/directory-.-RelWithDebInfo-f5ebdc15457944623624.json,154,154 B,3,462,462 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
86e7a30b8b63ba3392582621985aeef407bddffc28967e4e9f1ebcf80cb8b8a0,.utmp/Debug/2g58671a/arm64-v8a/.cmake/api/v1/reply/directory-.-Debug-f5ebdc15457944623624.json,154,154 B,3,462,462 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
86e7a30b8b63ba3392582621985aeef407bddffc28967e4e9f1ebcf80cb8b8a0,.utmp/Debug/4a3135k6/arm64-v8a/.cmake/api/v1/reply/directory-.-Debug-f5ebdc15457944623624.json,154,154 B,3,462,462 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,.utmp/RelWithDebInfo/5q2osh50/arm64-v8a/.cmake/api/v1/query/client-agp/codemodel-v2,0,0 B,16,0,0 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,.utmp/RelWithDebInfo/5q2osh50/arm64-v8a/.cmake/api/v1/query/client-agp/cmakeFiles-v1,0,0 B,16,0,0 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,.utmp/RelWithDebInfo/5q2osh50/arm64-v8a/.cmake/api/v1/query/client-agp/cache-v2,0,0 B,16,0,0 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,.utmp/Debug/2g58671a/arm64-v8a/.cmake/api/v1/query/client-agp/codemodel-v2,0,0 B,16,0,0 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,.utmp/Debug/2g58671a/arm64-v8a/.cmake/api/v1/query/client-agp/cmakeFiles-v1,0,0 B,16,0,0 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,.utmp/Debug/2g58671a/arm64-v8a/.cmake/api/v1/query/client-agp/cache-v2,0,0 B,16,0,0 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,.utmp/Debug/4a3135k6/arm64-v8a/.cmake/api/v1/query/client-agp/codemodel-v2,0,0 B,16,0,0 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,.utmp/Debug/4a3135k6/arm64-v8a/.cmake/api/v1/query/client-agp/cmakeFiles-v1,0,0 B,16,0,0 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,.utmp/Debug/4a3135k6/arm64-v8a/.cmake/api/v1/query/client-agp/cache-v2,0,0 B,16,0,0 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Packages/org.khronos.unitygltf/Runtime/Plugins/GLTFSerialization/Schema/GLTFExtensions.cs,0,0 B,16,0,0 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Packages/org.khronos.unitygltf/Runtime/Shaders/ShaderGraph/2020-Legacy/PBRGraph-Transparent.override-graph,0,0 B,16,0,0 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Packages/org.khronos.unitygltf/Runtime/Shaders/ShaderGraph/2020-Legacy/UnlitGraph-Double.override-graph,0,0 B,16,0,0 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Packages/org.khronos.unitygltf/Runtime/Shaders/ShaderGraph/2020-Legacy/UnlitGraph-Transparent-Double.override-graph,0,0 B,16,0,0 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Packages/org.khronos.unitygltf/Runtime/Shaders/ShaderGraph/2020-Legacy/PBRGraph-Transparent-Double.override-graph,0,0 B,16,0,0 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Packages/org.khronos.unitygltf/Runtime/Shaders/ShaderGraph/2020-Legacy/UnlitGraph-Transparent.override-graph,0,0 B,16,0,0 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Packages/org.khronos.unitygltf/Runtime/Shaders/ShaderGraph/2020-Legacy/PBRGraph-Double.override-graph,0,0 B,16,0,0 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
f21535f624728842f9aac5ee8ba55506ca8e536ff04a1e3bad7240b4badcd327,.utmp/RelWithDebInfo/5q2osh50/prefab/arm64-v8a/prefab/lib/aarch64-linux-android/cmake/game-activity/game-activityConfig.cmake,1284,1.3 KB,2,2568,2.5 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
f21535f624728842f9aac5ee8ba55506ca8e536ff04a1e3bad7240b4badcd327,.utmp/Debug/2g58671a/prefab/arm64-v8a/prefab/lib/aarch64-linux-android/cmake/game-activity/game-activityConfig.cmake,1284,1.3 KB,2,2568,2.5 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
048e8583815be50f1565dd1b947a725db7aac5152bcf08323f7575bfa45fdf49,.utmp/RelWithDebInfo/5q2osh50/prefab/arm64-v8a/prefab/lib/aarch64-linux-android/cmake/OpenXR/OpenXRConfig.cmake,767,767 B,2,1534,1.5 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
048e8583815be50f1565dd1b947a725db7aac5152bcf08323f7575bfa45fdf49,.utmp/Debug/2g58671a/prefab/arm64-v8a/prefab/lib/aarch64-linux-android/cmake/OpenXR/OpenXRConfig.cmake,767,767 B,2,1534,1.5 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
8b1e7d3a67bc59e981d84d30e44e936c2d9e62e23fa6ba87916bd8bdf1e14bd9,.utmp/RelWithDebInfo/5q2osh50/prefab/arm64-v8a/prefab/lib/aarch64-linux-android/cmake/OpenXR/OpenXRConfigVersion.cmake,310,310 B,3,930,930 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
8b1e7d3a67bc59e981d84d30e44e936c2d9e62e23fa6ba87916bd8bdf1e14bd9,.utmp/Debug/2g58671a/prefab/arm64-v8a/prefab/lib/aarch64-linux-android/cmake/OpenXR/OpenXRConfigVersion.cmake,310,310 B,3,930,930 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
8b1e7d3a67bc59e981d84d30e44e936c2d9e62e23fa6ba87916bd8bdf1e14bd9,.utmp/Debug/4a3135k6/prefab/arm64-v8a/prefab/lib/aarch64-linux-android/cmake/OpenXR/OpenXRConfigVersion.cmake,310,310 B,3,930,930 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
905cd2343415d66debd7f516d6bed9ee440d12323e9878dd2f36e56f38678fd4,webgl/StreamingAssets/in_my_sisters_room_xr.mp4,78793971,75.1 MB,2,157587942,150.3 MB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
905cd2343415d66debd7f516d6bed9ee440d12323e9878dd2f36e56f38678fd4,Assets/StreamingAssets/in_my_sisters_room_xr.mp4,78793971,75.1 MB,2,157587942,150.3 MB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
cd0928a934a144b202c2f71ca32fbd7b1be9e3febafad1115efe4539fb73ac49,webgl/StreamingAssets/you don't know about style my darling_720p.mp4,14920335,14.2 MB,3,44761005,42.7 MB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
cd0928a934a144b202c2f71ca32fbd7b1be9e3febafad1115efe4539fb73ac49,Assets/BCaT_assets/Ri/you don't know about style my darling_720p.mp4,14920335,14.2 MB,3,44761005,42.7 MB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
cd0928a934a144b202c2f71ca32fbd7b1be9e3febafad1115efe4539fb73ac49,Assets/StreamingAssets/you don't know about style my darling_720p.mp4,14920335,14.2 MB,3,44761005,42.7 MB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
6e716a4845b17d0db69e2043d4440c12df87cca3a2c81f5fdcfa98ac40662334,webgl/StreamingAssets/subjected_to_recognition_720p.mp4,230720,225.3 KB,3,692160,675.9 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
6e716a4845b17d0db69e2043d4440c12df87cca3a2c81f5fdcfa98ac40662334,Assets/BCaT_assets/Meshell_Sturgis/subjected_to_recognition_720p.mp4,230720,225.3 KB,3,692160,675.9 KB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
6e716a4845b17d0db69e2043d4440c12df87cca3a2c81f5fdcfa98ac40662334,Assets/StreamingAssets/subjected_to_recognition_720p.mp4,230720,225.3 KB,3,692160,675.9 KB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
98946328da58f6f901bab2feb29136936489278ee2e518cfd39da449b54840a3,webgl/StreamingAssets/such lovely gravy_720p.mp4,7518495,7.2 MB,3,22555485,21.5 MB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
98946328da58f6f901bab2feb29136936489278ee2e518cfd39da449b54840a3,Assets/BCaT_assets/Ri/such lovely gravy_720p.mp4,7518495,7.2 MB,3,22555485,21.5 MB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
98946328da58f6f901bab2feb29136936489278ee2e518cfd39da449b54840a3,Assets/StreamingAssets/such lovely gravy_720p.mp4,7518495,7.2 MB,3,22555485,21.5 MB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
01228c2bbb51049149b309038245cc8534dd5d339a2f579738559de531914fe5,webgl/StreamingAssets/Linda_Leaks_CHOF_720p.mp4,34127159,32.5 MB,3,102381477,97.6 MB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
01228c2bbb51049149b309038245cc8534dd5d339a2f579738559de531914fe5,Assets/BCaT_assets/LindaLeaks/Linda_Leaks_CHOF_720p.mp4,34127159,32.5 MB,3,102381477,97.6 MB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
01228c2bbb51049149b309038245cc8534dd5d339a2f579738559de531914fe5,Assets/StreamingAssets/Linda_Leaks_CHOF_720p.mp4,34127159,32.5 MB,3,102381477,97.6 MB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
1ca0d4099519684bdafb844bcb0160a3d0e988c71660e1ce5b24347a91cdb244,webgl/StreamingAssets/and that is the truth - you know what I'm meaning_720p.mp4,124790760,119.0 MB,3,374372280,357.0 MB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
1ca0d4099519684bdafb844bcb0160a3d0e988c71660e1ce5b24347a91cdb244,Assets/BCaT_assets/Ri/and that is the truth - you know what I'm meaning_720p.mp4,124790760,119.0 MB,3,374372280,357.0 MB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
1ca0d4099519684bdafb844bcb0160a3d0e988c71660e1ce5b24347a91cdb244,Assets/StreamingAssets/and that is the truth - you know what I'm meaning_720p.mp4,124790760,119.0 MB,3,374372280,357.0 MB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
751861040b69ea63a3827507b7c8da9c7f549dc181c1c8af4b7ca78cc97d710a,build.app/Contents/MonoBleedingEdge/etc/mono/2.0/DefaultWsdlHelpGenerator.aspx,60575,59.2 KB,3,181725,177.5 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
751861040b69ea63a3827507b7c8da9c7f549dc181c1c8af4b7ca78cc97d710a,build.app/Contents/MonoBleedingEdge/etc/mono/4.5/DefaultWsdlHelpGenerator.aspx,60575,59.2 KB,3,181725,177.5 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
751861040b69ea63a3827507b7c8da9c7f549dc181c1c8af4b7ca78cc97d710a,build.app/Contents/MonoBleedingEdge/etc/mono/4.0/DefaultWsdlHelpGenerator.aspx,60575,59.2 KB,3,181725,177.5 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
8a1082057ac5681dcd4e9c227ed7fb8eb42ac1618963b5de3b65739dd77e2741,build.app/Contents/MonoBleedingEdge/etc/mono/2.0/Browsers/Compat.browser,1605,1.6 KB,3,4815,4.7 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
8a1082057ac5681dcd4e9c227ed7fb8eb42ac1618963b5de3b65739dd77e2741,build.app/Contents/MonoBleedingEdge/etc/mono/4.5/Browsers/Compat.browser,1605,1.6 KB,3,4815,4.7 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
8a1082057ac5681dcd4e9c227ed7fb8eb42ac1618963b5de3b65739dd77e2741,build.app/Contents/MonoBleedingEdge/etc/mono/4.0/Browsers/Compat.browser,1605,1.6 KB,3,4815,4.7 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
ce1db1ad8a9512073164e3eccdc193f7eda036e1a9733caec4635de21b2865c8,build.app/Contents/MonoBleedingEdge/etc/mono/4.5/settings.map,2622,2.6 KB,2,5244,5.1 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
ce1db1ad8a9512073164e3eccdc193f7eda036e1a9733caec4635de21b2865c8,build.app/Contents/MonoBleedingEdge/etc/mono/4.0/settings.map,2622,2.6 KB,2,5244,5.1 KB,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
b500b3283be757ac74d2d5d10a681c724726a42a65c2da7be49b9117f646bea3,Logs/shadercompiler-AssetImportWorker0-0.log,507,507 B,2,1014,1014 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
b500b3283be757ac74d2d5d10a681c724726a42a65c2da7be49b9117f646bea3,Logs/shadercompiler-AssetImportWorker1-0.log,507,507 B,2,1014,1014 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
b1910f7fe48f042f99400914c8144d81932b3973f2dc21b882171372d37df243,Packages/org.khronos.unitygltf/Runtime/Plugins/Optimization/AssemblyInfo.cs,91,91 B,2,182,182 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
b1910f7fe48f042f99400914c8144d81932b3973f2dc21b882171372d37df243,Packages/org.khronos.unitygltf/Runtime/Plugins/GLTFSerialization/AssemblyInfo.cs,91,91 B,2,182,182 B,Filesystem duplicate; verify use,High-risk deletion unless unreferenced evidence strong
f1cf6acf766fa3f152ae27807dfe16b94ae7d3f836b4d7262abe4ca411eccc31,Assets/RealBlend/Art/Materials/Textures/Moss002_2K-PNG_Color 1.png,9129253,8.7 MB,2,18258506,17.4 MB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
f1cf6acf766fa3f152ae27807dfe16b94ae7d3f836b4d7262abe4ca411eccc31,Assets/RealBlend/Art/Materials/Textures/Moss002_2K-PNG_Color.png,9129253,8.7 MB,2,18258506,17.4 MB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
7c3535a925ef7e65b087886a749fcd112e9ebdf9a2f12e0d4c70c292fa97bbf5,Assets/_Recovery/0 (10).unity,5252494,5.0 MB,2,10504988,10.0 MB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
7c3535a925ef7e65b087886a749fcd112e9ebdf9a2f12e0d4c70c292fa97bbf5,Assets/_Recovery/0 (9).unity,5252494,5.0 MB,2,10504988,10.0 MB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
fa8066a2fd0627393863e1800ded81315fbbbdca3caf88efef50604a87bd8b2d,Assets/_Recovery/0 (22).unity,6038041,5.8 MB,2,12076082,11.5 MB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
fa8066a2fd0627393863e1800ded81315fbbbdca3caf88efef50604a87bd8b2d,Assets/_Recovery/0 (21).unity,6038041,5.8 MB,2,12076082,11.5 MB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
2dab5017419a2ee28505c5594da8f22a492895f3ae30dd8afc70a6a0c52ddc1a,Assets/_Recovery/0 (20).unity,3539,3.5 KB,3,10617,10.4 KB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
2dab5017419a2ee28505c5594da8f22a492895f3ae30dd8afc70a6a0c52ddc1a,Assets/_Recovery/0 (19).unity,3539,3.5 KB,3,10617,10.4 KB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
2dab5017419a2ee28505c5594da8f22a492895f3ae30dd8afc70a6a0c52ddc1a,Assets/_Recovery/0 (4).unity,3539,3.5 KB,3,10617,10.4 KB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
43218ac208b627c4806930f855fcf27f4076d96ee8827e59ad18be188d745d3c,Assets/picture-frame/textures/pictureframe.png,1692975,1.6 MB,2,3385950,3.2 MB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
43218ac208b627c4806930f855fcf27f4076d96ee8827e59ad18be188d745d3c,Assets/BCaT_assets/BlackParlors/Assets/picture-frame/textures/pictureframe.png,1692975,1.6 MB,2,3385950,3.2 MB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
296718bd49856de3929b496bdd7063fad81d4e939b0377ae8812c2bfcabfba5f,Assets/picture-frame/source/pictureframe.fbx,2166880,2.1 MB,2,4333760,4.1 MB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
296718bd49856de3929b496bdd7063fad81d4e939b0377ae8812c2bfcabfba5f,Assets/BCaT_assets/BlackParlors/Assets/picture-frame/source/pictureframe.fbx,2166880,2.1 MB,2,4333760,4.1 MB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
3723c5ecc7c3bd1b5253ba77239e118f4925e136654f75203fbfe9fbcc196495,Assets/Furniture Mega Pack/Textures/Tables/Table15/Table15_mat_Table15_MetallicSmoothness.png,21250,20.8 KB,2,42500,41.5 KB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
3723c5ecc7c3bd1b5253ba77239e118f4925e136654f75203fbfe9fbcc196495,Assets/Furniture Mega Pack/Textures/Chairs/Chair22/Chair22_mat_Chair22_MetallicSmoothness.png,21250,20.8 KB,2,42500,41.5 KB,Likely safe verify in Unity,High-risk deletion unless unreferenced evidence strong
