Scope,Rank,Path,Size,Size human,Under Assets,Concern,Recommendation
filesystem,37,Assets/TerrainSampleAssets/Textures/Terrain/Grass_Moss_MaskMap.tif,35519108,33.9 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,38,Assets/TerrainSampleAssets/Textures/Terrain/Black_Sand_MaskMap.tif,35296540,33.7 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,39,Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_B_Normal.tif,35279552,33.6 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,40,Assets/TerrainSampleAssets/Textures/Terrain/Sand_Normal.tif,35255012,33.6 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,41,Assets/TerrainSampleAssets/Textures/Terrain/Heather_BaseColor.tif,35233308,33.6 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,42,Assets/TerrainSampleAssets/Textures/Terrain/Tidal_Pools_Normal.tif,35033448,33.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,43,Assets/TerrainSampleAssets/Textures/Terrain/Grass_Dry_BaseColor.tif,35027440,33.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,44,Assets/TerrainSampleAssets/Textures/Terrain/Rock_Normal.tif,34933620,33.3 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,45,Assets/TerrainSampleAssets/Textures/Terrain/Rock_MaskMap.tif,34865184,33.3 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,46,Assets/TerrainSampleAssets/Textures/Terrain/Snow_Normal.tif,34687396,33.1 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,47,Assets/BCaT/Exhibits/BlackKitchen/Models/BlackKitchen_ScannedEnvironment.glb,34495692,32.9 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,48,Assets/TerrainSampleAssets/Textures/Terrain/Soil_Rocks_BaseColor.tif,34369328,32.8 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,49,Assets/TerrainSampleAssets/Textures/Terrain/Grass_B_BaseColor.tif,34232048,32.6 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,50,Assets/TerrainSampleAssets/Textures/Terrain/Grass_Moss_BaseColor.tif,34198928,32.6 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,51,Assets/TerrainSampleAssets/Textures/Terrain/Rock_BaseColor.tif,34189544,32.6 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,52,Assets/TerrainSampleAssets/Textures/Terrain/Grass_A_BaseColor.tif,34136344,32.6 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,53,webgl/StreamingAssets/Linda_Leaks_CHOF_720p.mp4,34127159,32.5 MB,No,build/binary artifact inside project; large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,54,Assets/StreamingAssets/Linda_Leaks_CHOF_720p.mp4,34127159,32.5 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,55,Assets/BCaT_assets/LindaLeaks/Linda_Leaks_CHOF_720p.mp4,34127159,32.5 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,56,Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_C_BaseColor.tif,33735820,32.2 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,57,Assets/TerrainSampleAssets/Textures/Terrain/Muddy_BaseColor.tif,33725212,32.2 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,58,Assets/TerrainSampleAssets/Textures/Heightmaps/Ridge05_Heightmap.tif,33577404,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,59,Assets/TerrainSampleAssets/Textures/Heightmaps/Ridge06_Heightmap.tif,33574684,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,60,Assets/TerrainSampleAssets/Textures/Heightmaps/Errosion02_Heightmap.tif,33573800,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,61,Assets/TerrainSampleAssets/Textures/Heightmaps/Slope04_Heightmap.tiff,33554858,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,62,Assets/TerrainSampleAssets/Textures/Heightmaps/Slope03_Heightmap.tiff,33554858,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,63,Assets/TerrainSampleAssets/Textures/Heightmaps/Slope02_Heightmap.tiff,33554858,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,64,Assets/TerrainSampleAssets/Textures/Heightmaps/Slope01_Heightmap.tiff,33554858,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,65,Assets/TerrainSampleAssets/Textures/Heightmaps/Mountain11_Heightmap.tiff,33554858,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,66,Assets/TerrainSampleAssets/Textures/Heightmaps/Mountain10_Heightmap.tiff,33554858,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,67,Assets/TerrainSampleAssets/Textures/Heightmaps/Mountain09_Heightmap.tiff,33554858,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,68,Assets/TerrainSampleAssets/Textures/Heightmaps/Hills02_Heightmap.tiff,33554858,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,69,Assets/TerrainSampleAssets/Textures/Heightmaps/Hills01_Heightmap.tiff,33554858,32.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,70,Assets/TerrainSampleAssets/Textures/Terrain/Grass_Soil_BaseColor.tif,33421736,31.9 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,71,Assets/TerrainSampleAssets/Textures/Terrain/Black_Sand_BaseColor.tif,33337120,31.8 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,72,Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_A_BaseColor.tif,32999956,31.5 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,73,Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_B_BaseColor.tif,32092168,30.6 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,74,Assets/TerrainSampleAssets/Textures/Terrain/Tidal_Pools_BaseColor.tif,31929948,30.5 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,75,app-build_BackUpThisFolder_ButDontShipItWithYourGame/il2cppOutput/Il2CppInvokerTable.cpp,31900950,30.4 MB,No,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,76,quest_BackUpThisFolder_ButDontShipItWithYourGame/il2cppOutput/Il2CppInvokerTable.cpp,30343178,28.9 MB,No,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,77,Assets/BCaT_assets/BTMMP_Workstation_Assembly/metal_table_asset.glb,29600972,28.2 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,78,Assets/TerrainSampleAssets/Textures/Terrain/Snow_BaseColor.tif,29474316,28.1 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,79,Assets/My_Custom/rug.glb,29117224,27.8 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,80,Assets/RealBlend/Art/Materials/Textures/rough_plaster_brick_04_diff_2k.png,26399365,25.2 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,81,Assets/TerrainSampleAssets/Textures/Heightmaps/Volcano02_Heightmap.tif,26231012,25.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,82,Assets/TerrainSampleAssets/Textures/Heightmaps/Volcano01_Heightmap.tif,25188260,24.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,83,Assets/DevDen Arch Viz Scotland/Models/Bathroom/2.fbx,24828010,23.7 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,84,Assets/RealBlend/Art/Materials/Textures/Moss002_2K-PNG_NormalGL.png,24636888,23.5 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,85,Assets/TerrainSampleAssets/Textures/Terrain/Grass_A_MaskMap.tif,23264240,22.2 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,86,Assets/BCaT_assets/SewingRoom/bed.glb,21972076,21.0 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,87,quest_BackUpThisFolder_ButDontShipItWithYourGame/il2cppOutput/Il2CppTypeDefinitions.c,21850652,20.8 MB,No,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,88,app-build_BackUpThisFolder_ButDontShipItWithYourGame/il2cppOutput/Il2CppTypeDefinitions.c,21429370,20.4 MB,No,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,89,Assets/RealBlend/Art/Materials/Textures/concrete_moss_diff_2k.png,21166815,20.2 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,90,Assets/My_Custom/modern_scandinavian_kitchen_island.glb,20094320,19.2 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,91,Assets/DevDen Arch Viz Scotland/Scenes/ArchViz/ReflectionProbe-8.exr,18705070,17.8 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,92,Assets/BCaT_assets/Ri/and that is the truth - you know what I'm meaning.mp3,17999572,17.2 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,93,Assets/SubstanceAssets/LittleGamesPack/Textures/ChessPieces/ChessPieces_Base_color.png,17751521,16.9 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,94,Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb,17575828,16.8 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,95,Assets/DevDen Arch Viz Scotland/Scenes/ArchViz/ReflectionProbe-5.exr,16824063,16.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,96,Assets/SubstanceAssets/LittleGamesPack/Textures/CardsAndTables/CardsAndTables_Normal_OpenGL.png,16669029,15.9 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,97,Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb,16633652,15.9 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,98,Assets/BCaT_assets/Meshell_Sturgis/My Grandma's Garden.png,16537844,15.8 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,99,Assets/danthaigames/DS 80s Television/PSDs/TV_Textures.psd,16315733,15.6 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
filesystem,100,Assets/DevDen Arch Viz Scotland/Scenes/ArchViz/ReflectionProbe-6.exr,15709972,15.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,1,Assets/StreamingAssets/and that is the truth - you know what I'm meaning_720p.mp4,124790760,119.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,2,Assets/BCaT_assets/Ri/and that is the truth - you know what I'm meaning_720p.mp4,124790760,119.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,3,Assets/BCaT_assets/9night/9night-soundscape.wav,99988554,95.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,4,Assets/StreamingAssets/in_my_sisters_room_xr.mp4,78793971,75.1 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,5,Assets/BCaT/Exhibits/BlackKitchen/Models/Reference/point_cloud_scan_REFERENCE_ONLY_DO_NOT_BUILD.ply,76945833,73.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,6,Assets/SubstanceAssets/LittleGamesPack/Textures/ChessPieces/ChessPieces_Normal_OpenGL.png,69681270,66.5 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,7,Assets/BCaT_assets/LindaLeaks/Linda_Leaks_CHOF_720p_audio.wav,55976110,53.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,8,Assets/DevDen Arch Viz Scotland/Scenes/ArchViz/ReflectionProbe-3.exr,49748560,47.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,9,Assets/SubstanceAssets/LittleGamesPack/Textures/GamePieces/GamePieces_Normal_OpenGL.png,46705734,44.5 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,10,Assets/DevDen Arch Viz Scotland/HDRI/HDRI.png,44743385,42.7 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,11,Assets/DevDen Arch Viz Scotland/Models/Study Room/books.FBX,39768560,37.9 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,12,Assets/My_Custom/japanese_red_bridge.glb,36773456,35.1 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,13,Assets/BCaT_assets/SewingRoom/sewing-sounds.wav,36757578,35.1 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,14,Assets/BCaT_assets/SewingRoom/in_my_sisters_room_audio.wav,36634702,34.9 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,15,Assets/TerrainSampleAssets/Textures/Terrain/Heather_Normal.tif,36128884,34.5 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,16,Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_C_Normal.tif,36107892,34.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,17,Assets/TerrainSampleAssets/Textures/Terrain/Grass_B_Normal.tif,36105608,34.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,18,Assets/TerrainSampleAssets/Textures/Terrain/Grass_A_Normal.tif,36089180,34.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,19,Assets/TerrainSampleAssets/Textures/Terrain/Grass_Moss_Normal.tif,36063976,34.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,20,Assets/TerrainSampleAssets/Textures/Terrain/Grass_Dry_Normal.tif,36044732,34.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,21,Assets/TerrainSampleAssets/Textures/Terrain/Soil_Rocks_MaskMap.tif,36039052,34.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,22,Assets/TerrainSampleAssets/Textures/Terrain/Grass_Soil_Normal.tif,35994420,34.3 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,23,Assets/TerrainSampleAssets/Textures/Terrain/Muddy_Normal.tif,35888960,34.2 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,24,Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_A_Normal.tif,35828800,34.2 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,25,Assets/TerrainSampleAssets/Textures/Terrain/Black_Sand_Normal.tif,35725576,34.1 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,26,Assets/TerrainSampleAssets/Textures/Terrain/Soil_Rocks_Normal.tif,35677264,34.0 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,27,Assets/TerrainSampleAssets/Textures/Terrain/Grass_Moss_MaskMap.tif,35519108,33.9 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,28,Assets/TerrainSampleAssets/Textures/Terrain/Black_Sand_MaskMap.tif,35296540,33.7 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,29,Assets/TerrainSampleAssets/Textures/Terrain/Pebbles_B_Normal.tif,35279552,33.6 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,30,Assets/TerrainSampleAssets/Textures/Terrain/Sand_Normal.tif,35255012,33.6 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,31,Assets/TerrainSampleAssets/Textures/Terrain/Heather_BaseColor.tif,35233308,33.6 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,32,Assets/TerrainSampleAssets/Textures/Terrain/Tidal_Pools_Normal.tif,35033448,33.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,33,Assets/TerrainSampleAssets/Textures/Terrain/Grass_Dry_BaseColor.tif,35027440,33.4 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,34,Assets/TerrainSampleAssets/Textures/Terrain/Rock_Normal.tif,34933620,33.3 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,35,Assets/TerrainSampleAssets/Textures/Terrain/Rock_MaskMap.tif,34865184,33.3 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,36,Assets/TerrainSampleAssets/Textures/Terrain/Snow_Normal.tif,34687396,33.1 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,37,Assets/BCaT/Exhibits/BlackKitchen/Models/BlackKitchen_ScannedEnvironment.glb,34495692,32.9 MB,Yes,,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,38,Assets/TerrainSampleAssets/Textures/Terrain/Soil_Rocks_BaseColor.tif,34369328,32.8 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,39,Assets/TerrainSampleAssets/Textures/Terrain/Grass_B_BaseColor.tif,34232048,32.6 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,40,Assets/TerrainSampleAssets/Textures/Terrain/Grass_Moss_BaseColor.tif,34198928,32.6 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,41,Assets/TerrainSampleAssets/Textures/Terrain/Rock_BaseColor.tif,34189544,32.6 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,42,Assets/TerrainSampleAssets/Textures/Terrain/Grass_A_BaseColor.tif,34136344,32.6 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
git_tracked,43,Assets/StreamingAssets/Linda_Leaks_CHOF_720p.mp4,34127159,32.5 MB,Yes,large binary/media/source asset,Do not delete in audit; verify Git/build inclusion and Unity dependencies
