path	sizeBytes	category	gitTracked	evidence
Assets/Animated Tropical Vegetation/Materials/Billboards/bamboo_1_billboard.mat	5409	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/Billboards/bamboo_2_billboard.mat	5409	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/Billboards/bamboo_3_billboard.mat	5410	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/Billboards/bamboo_4_billboard.mat	5410	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/Billboards/banana_tree_1_billboard.mat	5415	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/Billboards/banana_tree_2_billboard.mat	5414	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/Billboards/banana_tree_3_billboard.mat	5413	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/Billboards/banana_tree_4_billboard.mat	5415	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/Billboards/banana_tree_5_billboard.mat	5414	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/Billboards/banana_tree_6_billboard.mat	5415	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/Billboards/big_palm_tree_billboard.mat	5414	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/Billboards/bushy_palm_1_billboard.mat	5414	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/Billboards/bushy_palm_2_billboard.mat	5414	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/Billboards/bushy_palm_3_billboard.mat	5414	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/Billboards/large_palm_tree_1_billboard.mat	5419	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/Billboards/large_palm_tree_2_billboard.mat	5417	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/Billboards/palm_tree_2_billboard.mat	5413	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/Billboards/small_tree_2_billboard.mat	5413	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/Billboards/small_tree_3_billboard.mat	5413	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/Billboards/small_tree_4_billboard.mat	5414	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/Billboards/tropical_plant_billboard.mat	5414	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/bamboo_bark.mat	4995	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/bamboo_leaves.mat	5242	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/banana_tree_1_bark.mat	5001	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/banana_tree_1_leaf.mat	5247	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/banana_tree_2_bark.mat	5001	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/banana_tree_2_leaves.mat	5250	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/bushy_palm_1.mat	5241	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/bushy_palm_2.mat	5242	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/dead_tree_bark.mat	4998	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/dead_tree_leaves.mat	5245	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/palm_tree_1_bark.mat	5000	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/palm_tree_1_leaves.mat	5247	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/palm_tree_2_bark.mat	5000	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/palm_tree_2_leaves.mat	5248	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/palm_tree_3_bark.mat	4999	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/palm_tree_3_leaves.mat	5247	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/small_tree_bark.mat	4998	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/small_tree_leaves.mat	5246	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Materials/tropical_plant_leaf.mat	5249	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Bamboos/bamboo_1.controller	2035	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Bamboos/bamboo_1.fbx	752156	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Bamboos/bamboo_2.controller	2050	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Bamboos/bamboo_2.fbx	810476	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Bamboos/bamboo_3.controller	2049	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Bamboos/bamboo_3.fbx	813948	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Bamboos/bamboo_4.controller	2044	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Bamboos/bamboo_4.fbx	834092	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_1.controller	2056	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_1.fbx	428284	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_2.controller	2048	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_2.fbx	693740	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_3.controller	2048	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_3.fbx	546268	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_4.controller	2052	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_4.fbx	432508	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_5.controller	2053	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_5.fbx	545660	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_6.controller	2055	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Banana Trees/banana_tree_6.fbx	580508	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Big Palm Tree/big_palm_tree.controller	2056	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Big Palm Tree/big_palm_tree.fbx	929388	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Bushy Palms/bushy_palm_1.controller	2055	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Bushy Palms/bushy_palm_1.fbx	644028	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Bushy Palms/bushy_palm_2.controller	2053	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Bushy Palms/bushy_palm_2.fbx	487900	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Bushy Palms/bushy_palm_3.controller	2051	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Bushy Palms/bushy_palm_3.fbx	454540	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Dead Trees/dead_tree_1.fbx	76252	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Dead Trees/dead_tree_2.fbx	94284	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Dead Trees/dead_tree_3.fbx	185340	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Jungle Bushes/jungle_bush_1.controller	2051	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Jungle Bushes/jungle_bush_3.controller	2048	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
Assets/Animated Tropical Vegetation/Models/Large Palm Trees/large_palm_tree_1.controller	2058	C	yes	Category C: unreachable from all production dependency roots (Unity AssetDatabase closure); absent from BuildReport packedAssets; no GUID reference from any kept serialized asset, kept .meta, ProjectSettings, or embedded package; no path-string reference from any script; not in Resources/StreamingAssets/settings roots; recoverable via Trash and git
